과목번호 , 분반 , 년도 , 학기 , 캠퍼스 , 대학 , 개설학과 , 과목명 , 담당교수 , 학점 , 이수구분 , 이론/실습 , 비고
17425,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리(1)   , 김진우 ,3, 전공기초 , 이론 , BSM
17425,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리(1)   , 이근중 ,3, 전공기초 , 이론 , BSM
17437,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)   , 윤영귀 ,1, 전공기초 , 이론 , BSM
17437,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)   , 김시연 ,1, 전공기초 , 이론 , BSM
17437,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)   , 이현민 ,1, 전공기초 , 이론 , BSM
17437,4,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)   , 윤옥자 ,1, 전공기초 , 이론 , BSM
17437,5,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)   , 이근중 ,1, 전공기초 , 이론 , BSM
17437,6,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)  , 김진우 ,1, 전공기초 , 이론 , BSM
17437,7,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 일반물리실험(1)   , 윤옥자 ,1, 전공기초 , 이론 , BSM
49949,50,2019,1, 서울 , 대학(전체)   , null , 창의와소통 , 김선규 ,2, 교양 , 이론 , 공통교양
53852,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 디지털미디어프로젝트 , 박진완 ,3, 전공 , 이론 , 설계1  
11185,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 선형대수학 (영어A강의)   , 권준석 ,3, 전공기초 , 이론 , BSM
11185,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 선형대수학 (영어A강의)   , 권준석 ,3, 전공기초 , 이론 , BSM
11185,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 선형대수학 (영어A강의)   , 송인식 ,3, 전공기초 , 이론 , BSM
49148,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 소프트웨어프로젝트 , 박재현 ,3, 전공 , 이론 , 설계1  
49148,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 소프트웨어프로젝트 , 박창윤 ,3, 전공 , 이론 , 설계1  
49148,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 소프트웨어프로젝트 , 박창윤 ,3, 전공 , 이론 , 설계1  
49148,4,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 소프트웨어프로젝트 , 이남규 ,3, 전공 , 이론 , null
49148,5,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 소프트웨어프로젝트 , 이남규 ,3, 전공 , 이론 , 설계1  
40989,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자료구조 , 강현철 ,3, 전공필수 , 이론 , 코드쉐어
40989,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자료구조 , 강현철 ,3, 전공필수 , 이론 , 코드쉐어
40989,4,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자료구조 , 김무철 ,3, 전공필수 , 이론 , null
40989,5,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자료구조 , 김승태 ,3, 전공필수 , 이론 , null
40989,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 자료구조 (영어A강의)   , 김무철 ,3, 전공필수 , 이론 , 코드쉐어
38714,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 창의적설계 (영어A강의   , 이재성 ,3, 전공 , 이론 , 설계3
38714,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 창의적설계 (영어A강의   , 이재성 ,3, 전공 , 이론 , 설계3
38714,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 창의적설계 (영어A강의   , 이재성 ,3, 전공 , 이론 , 설계3
32734,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 컴퓨터시스템및어셈블리언어 , 최광남 ,3, 전공 , 이론 , null
32734,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 컴퓨터시스템및어셈블리언어 , 최광남 ,3, 전공 , 이론 , null
11934,1,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 수치해석 (영어A강의   , 이창하 ,3, 전공 , 이론 , BSM
11934,2,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 수치해석 (영어A강의   , 이창하 ,3, 전공 , 이론 , BSM
11934,3,2019,1, 서울 , 소프트웨어대학 , 소프트웨어학부 , 수치해석 (영어A강의   , 김중헌 ,3, 전공 , 이론 , BSM
