과목번호 , 분반 , 년도 , 학기 , 캠퍼스 , 대학 , 개설학과 , 과목명 , 담당교수 , 학점 , 이수구분 , 이론/실습 , 비고
50646 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , ICT와 경영 , 한진영 , 2 , 교양 , 이론 , MACH
50646 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , ICT와 경영 , 한진영 , 2 , 교양 , 이론 , MACH
52816 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , MACH 포커스 , 김휘택 이현정 한진영 이민하 , 2 , 교양 , 이론 , MACH
52816 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , MACH 포커스 , 김휘택 이현정 한진영 이민하 , 2 , 교양 , 이론 , MACH
53099 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , VR로 구현하는 공감 , 이현정 , 1 , 교양 , 실습 , MACH
53099 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , VR로 구현하는 공감 , 이현정 , 1 , 교양 , 실습 , MACH
52817 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 경영의사결정 실습 , 한진영 , 1 , 교양 , 실습 , MACH
52817 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 경영의사결정 실습 , 한진영 , 1 , 교양 , 실습 , MACH
53096 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공감의 심리학 , 이현정 , 2 , 교양 , 이론 , MACH
52815 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공학도의 철학메모 , 한진영 , 2 , 교양 , 이론 , MACH
52815 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공학도의 철학메모 , 한진영 , 2 , 교양 , 이론 , MACH
51243 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공학인을 위한 품질경영 , 남승호 , 2 , 교양 , 이론 , MACH
53095 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 미래기술과 도시 , 이현정 , 2 , 교양 , 이론 , MACH
52323 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 생활속의 ICT , 최형 한진영 , 2 , 교양 , 이론 , MACH
50390 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링 콘텐츠 제작 실습 , 김휘택 , 1 , 교양 , 실습 , MACH
50390 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링 콘텐츠 제작 실습 , 전종운 , 1 , 교양 , 실습 , MACH
50389 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링의 이해 , 김휘택 , 2 , 교양 , 이론 , MACH
52818 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 오픈데이터 기반 비즈니스 모델기획 , 한진영 , 1 , 교양 , 실습 , MACH
50642 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 이미지인문학 , 김휘택 , 2 , 교양 , 이론 , MACH
51236 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 인문학적 사고와 스마트창업 , 김휘택 김선규 , 2 , 교양 , 이론 , MACH
52820 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 창의적 문화 콘텐츠 읽기 실습 , 김휘택 , 1 , 교양 , 실습 , MACH
51237 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 창의적 문화분석 입문 , 김휘택 , 2 , 교양 , 이론 , MACH
51237 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 융합교양학부 , 창의적 문화분석 입문 , 김선규 , 2 , 교양 , 이론 , MACH
42301 , 9 , 2018 , 1 , 서울 , 대학(전체) ,   , 한국사 , 김엘리 , 2 , 교양 , 이론 , 공통교양
42301 , 10 , 2018 , 1 , 서울 , 대학(전체) ,   , 한국사 , 김선주 , 2 , 교양 , 이론 , 공통교양
42301 , 16 , 2018 , 1 , 서울 , 대학(전체) ,   , 한국사 , 원재연 , 2 , 교양 , 이론 , 공통교양
42301 , 18 , 2018 , 1 , 서울 , 대학(전체) ,   , 한국사 , 이선희 , 2 , 교양 , 이론 , 공통교양
42301 , 19 , 2018 , 1 , 서울 , 대학(전체) ,   , 한국사 , 한미라 , 2 , 교양 , 이론 , 공통교양
42301 , 25 , 2018 , 1 , 서울 , 대학(전체) ,   , 한국사 , 송화섭 , 2 , 교양 , 이론 , 공통교양
51293 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 기초컴퓨터프로그래밍 , 이남규 , 3 , 전공기초 , 이론 , 코드쉐어
49149 , 5 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 미적분학 (영어A강의) , 권준석 , 3 , 전공기초 , 이론 , BSM
17425 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리(1) , 이근중 , 3 , 전공기초 , 이론 , BSM
17425 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리(1) , 이근중 , 3 , 전공기초 , 이론 , BSM
17437 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리실험(1) , 최인환 , 1 , 전공기초 , 실습 , BSM
17437 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리실험(1) , 송광용 , 1 , 전공기초 , 실습 , BSM
17437 , 3 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리실험(1) , 윤옥자 , 1 , 전공기초 , 실습 , BSM
17437 , 4 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리실험(1) , 윤영귀 , 1 , 전공기초 , 실습 , BSM
17437 , 5 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 일반물리실험(1) , 이현민 , 1 , 전공기초 , 실습 , BSM
51288 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어전공 , SW프로젝트 (영어A강의) , 박상오 , 3 , 전공 , 이론 , null
53301 , 2 , 2018 , 1 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 감성컴퓨팅 , 박재화 , 3 , 전공 , 이론 , null
11185 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 선형대수학 (영어A강의) , 권준석 , 3 , 전공기초 , 이론 , BSM
51286 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 소프트웨어전공 , 자료구조론 (영어A강의) , 송인식 , 3 , 전공필수 , 이론 , null
38714 , 1 , 2018 , 1 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 창의적설계 (영어A강의) , 홍병우 , 3 , 전공 , 이론 , 설계3
