과목번호 , 분반 , 년도 , 학기 , 캠퍼스 , 대학 , 개설학과 , 과목명 , 담당교수 , 학점 , 이수구분 , 이론/실습 , 비고
50646 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , ICT와 경영 , 한진영 , 2 , 교양 , 이론 , MACH
50646 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , ICT와 경영 , 한진영 , 2 , 교양 , 이론 , MACH
53099 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , VR로 구현하는 공감 , 이현정 , 1 , 교양 , 실습 , MACH
53099 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , VR로 구현하는 공감 , 이현정 , 1 , 교양 , 실습 , MACH
51240 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 게임아트와 내러티브 , 이민하 , 1 , 교양 , 실습 , MACH
51240 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 게임아트와 내러티브 , 이민하 , 1 , 교양 , 실습 , MACH
53098 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공유 비즈니스 모델 실습 , 이현정 , 1 , 교양 , 실습 , MACH
52815 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공학도의 철학메모 , 한진영 , 2 , 교양 , 이론 , MACH
52815 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 공학도의 철학메모 , 한진영 , 2 , 교양 , 이론 , MACH
51889 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 디자인 기초실습 , 이민하 , 1 , 교양 , 실습 , MACH
51888 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 디자인과 감성적사고 , 이민하 , 2 , 교양 , 이론 , MACH
51888 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 디자인과 감성적사고 , 이민하 , 2 , 교양 , 이론 , MACH
52323 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 생활속의 ICT , 한진영 최형 , 2 , 교양 , 이론 , MACH
50390 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링 콘텐츠 제작 실습 , 전종운 , 1 , 교양 , 실습 , MACH
50390 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링 콘텐츠 제작 실습 , 전종운 , 1 , 교양 , 실습 , MACH
50389 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 스토리텔링의 이해 , 전종운 , 2 , 교양 , 이론 , MACH
52818 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 오픈데이터 기반 비즈니스 모델기획 , 한진영 , 1 , 교양 , 실습 , MACH
52818 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 오픈데이터 기반 비즈니스 모델기획 , 한진영 , 1 , 교양 , 실습 , MACH
50642 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 이미지인문학 , 김휘택 , 2 , 교양 , 이론 , MACH
50644 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 인지행동 신경과학 , 정유정 , 2 , 교양 , 이론 , MACH
50393 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 창의적 디자인사고와 비즈니스모델 , 이민하 , 2 , 교양 , 이론 , MACH
51237 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 창의적 문화분석 입문 , 김선규 , 2 , 교양 , 이론 , MACH
53097 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 융합교양학부 , 초연결사회의 비즈니스 모델 , 이현정 , 2 , 교양 , 이론 , MACH
5056 , 3 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 논리회로 , 김상욱 , 3 , 전공기초 , 이론 , null
5056 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 논리회로 (영어A강의) , 조성래 , 3 , 전공기초 , 이론 , null
5056 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 논리회로 (영어A강의) , 조성래 , 3 , 전공기초 , 이론 , null
17086 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 이산수학 , 윤경현 , 3 , 전공기초 , 이론 , BSM
17086 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 이산수학 , 윤경현 , 3 , 전공기초 , 이론 , BSM
17086 , 3 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 이산수학 , 박재현 , 3 , 전공기초 , 이론 , BSM
47710 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어학부 , 프로그래밍 (영어A강의) , 김무철 , 3 , 전공기초 , 이론 , null
49156 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 객체지향프로그래밍 , 이남규 , 3 , 전공 , 이론 , 설계2
49156 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 객체지향프로그래밍 , 손용석 , 3 , 전공 , 이론 , 설계2
49156 , 3 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 객체지향프로그래밍 , 조용진 , 3 , 전공 , 이론 , 설계2
51289 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어전공 , 알고리즘분석 (영어A강의) , 이재성 , 3 , 전공 , 이론 , null
51292 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어전공 , 컴퓨터구조론 , 김상욱 , 3 , 전공필수 , 이론 , null
51292 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어전공 , 컴퓨터구조론 (영어A강의) , 백정엽 , 3 , 전공필수 , 이론 , null
51290 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 소프트웨어전공 , 프로그래밍언어개론 (영어A강의) , 김중헌 , 3 , 전공 , 이론 , null
30195 , 3 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 확률및통계 , 김영주 , 3 , 전공 , 이론 , BSM
30195 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 확률및통계 (영어A강의) , 권준석 , 3 , 전공 , 이론 , BSM
52811 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 리눅스 시스템 응용 설계 , 박재화 , 3 , 전공 , 이론 , null
47713 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 모바일 앱 개발 , 박재현 , 3 , 전공 , 이론 , 코드쉐어
47713 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 모바일 앱 개발 (영어A강의) , 김중헌 , 3 , 전공 , 이론 , null
53090 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 산업체핸즈온 프로젝트 , 김대훈 , 3 , 전공 , 이론 , null
52320 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 웹프로그래밍 (영어A강의) , 송인식 , 3 , 전공 , 이론 , null
50178 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 캡스톤디자인(1) , 박상오 , 2 , 전공 , 이론 , 설계2
50178 , 3 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 캡스톤디자인(1) , 박상오 , 2 , 전공 , 이론 , 설계2
50178 , 4 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 캡스톤디자인(1) , 박상오 , 2 , 전공 , 이론 , 설계2
50178 , 6 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 캡스톤디자인(1) , 박상오 , 2 , 전공 , 이론 , 설계2
50178 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 캡스톤디자인(1) (영어A강의) , 권영빈 , 2 , 전공 , 이론 , 설계2
50178 , 5 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 캡스톤디자인(1) (영어A강의) , 권영빈 , 2 , 전공 , 이론 , 설계2
51280 , 2 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 휴먼ICT인공지능 (영어A강의) , 이재성 , 3 , 전공 , 이론 , 설계1
51281 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 휴먼인터페이스미디어 , 박재화 , 3 , 전공 , 이론 , null
33752 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 내장형시스템설계 (영어A강의) , 박상오 , 3 , 전공 , 이론 , null
53509 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 디자인 Thinking , 김대훈 , 3 , 전공 , 이론 , null
32741 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 설계패턴 , 이찬근 , 3 , 전공 , 이론 , null
14871 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 영상처리 (영어A강의) , 최광남 , 3 , 전공 , 이론 , null
29085 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 정보표준화 , 권영빈 , 3 , 전공 , 이론 , null
50256 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 휴먼인터페이스 영상 (영어A강의) , 홍병우 , 3 , 전공 , 이론 , null
49872 , 1 , 2018 , 2 , 서울 , 창의ICT공과대학 , 컴퓨터공학부 , 휴먼인터페이스 컴퓨터게임설계 (영어A강의) , 이창하 , 3 , 전공 , 이론 , null
